Abagualado|o cara
Abostado|abobado, burro
Ala-putcha-tche|interjeição de surpresa.
Arrancar-se|sair logo, rapidamente. 
Arrecem|há pouco
Arreganho|brincadeira
Arriado|debochado, fazer deboche
Atucanado|preocupado
Bagual|homem, o cara
Bah|Interjeição que vale para quase tudo, dependendo da entonação, pode ser usado como surpresa, rejeição, aprovação, admiração. 
Baixado|doente, derrubado, acamado 
Balaca|enfeite
Balaqueiro|enfeitado 
Barbaridade|pode ser tanto um adjetivo, quanto uma interjeição de espanto 
Bergamota|tangerina, mexerica 
Bombear|Observar
Bucha|difícil 
Cacetinho|Pão francês
Cagaco|susto, medo 
Caiu os butia do bolso|expressão de surpresa 
Campeando|procurando 
Capaz|imagina
Chinaredo|casa de prostituição
Chinelear|humilhar 
Chinoca|mulher
Churras|Churrasco
Cusco|Cachorro
Dar um laco|enrolar, bater em alguém
Dar uma banda|dar uma volta
Deitar o cabelo|fugir, sair, ir embora 
Despacito|devagar
Em cima do laco|Com pressa, apressado, com pouco tempo
Entrevero|briga generalizada. Também é um prato típico
Espraiar|se jogar, espalhar
Faixa|estrada, asfalto
Farroupilha|misto com pão francês
Fatiota|bem vestido, paletó, terno
Ficar de cara|Aborrecido
Fresquear|ficar de frescura
Frio de renguear cusco|muito frio
Gauderiar|adotar o estilo gaudério ou gaúcho.
Gringo|Como são chamados os descendentes de italianos 
Grossura|Grosseria 
Guaiaca|Cinto com bolsos feito de couro usado na indumentária gaúcha 
Guaipeca|Cachorro
Guampa|chifre, corno
Guapo|Forte, bonito
Guasca|Esperto
Guaiba|Lago que é chamado de rio 
Guria|menina
Guri|Menino
Indiada|vários homens ou situação ruim
Lomba|Ladeira
Labia|papo, conversa
Magrao|rapaz 
Mate|Chimarrão (espécie de chá feito com erva mate e consumido tanto durante o inverno, quanto sob sol escaldante no verão)
Merca|meninas, oriundo de dialeto de Livramento, na fronteira 
Minuano|Vento comum nos meses de inverno
Mongolao|abobado, burro 
Mosquear|distrair
Naco|pedaço
Negacear|Espreitar
Negrinho|brigadeiro
No nas tripas|cólicas estomacais
Oigale|expressão de espanto, alegria
Pago|lugar
Paleta|Costela
Pandorga|pipa, confusão
Patrao|Chefe, está podendo.
Pechada|batida, acidente
Peleia|Briga, disputa
Pila|moeda virtual local
Pilcha|indumentária típica completa do gaúcho
Pia|menino
Prenda|mulher
Profe|professora 
Quebra-mola|lombada
Querencia|Terra natal
Refri|Refrigerante
Relho|Chicote
Rincao|área de campo, recanto
Se arriar|tirar sarro, fazer graça
Sinaleira|farol, sinal, semáforo
Super|Supermercado
Surra de relho|apanhar
Taipa|burro, incapaz
Talagaco|De uma vez só.
Torrada|misto quente
Tramposo|Mentiroso
Tri|prefixo que pode ser usado para quase tudo e tem o mesmo significado de muito 
Trovador|Mentiroso
Vareio|surra, vencer com vantagem
Vazio|Peça de carne conhecida como Fraldinha em outras regiões
Vianda|Marmita
Vivente|Pessoa
Xis|Sanduiche, uma variação mais reforçada do hambúrguer.
